Trial #	Score1	Score2	Score3	Trades1	Trades2	Trades3	Fees1	Fees2	Fees3	Winrate1	Winrate2	Winrate3	Average	Deviation	Parameters
40	1.31	0.63	4.38	758	122	62	10370.21	979.37	639.42	51	48	66	2.107	1.99791	{'ott_len': 35, 'ott_percent': 129, 'ott_bw_up': 111, 'tps_qty_index': 65, 'max_risk_long': 85}
62	1.25	0.62	4.3	513	75	51	5625.13	641.13	483.88	58	57	69	2.057	1.96815	{'ott_len': 56, 'ott_percent': 182, 'ott_bw_up': 134, 'tps_qty_index': 104, 'max_risk_long': 64}
97	1.11	-0.55	3.88	614	91	58	5872.13	680.91	581.45	48	43	64	1.48	2.23806	{'ott_len': 35, 'ott_percent': 129, 'ott_bw_up': 111, 'tps_qty_index': 20, 'max_risk_long': 40}
104	1.36	-0.14	4.57	253	30	18	4635.41	246.56	163.22	58	53	83	1.93	2.40618	{'ott_len': 57, 'ott_percent': 218, 'ott_bw_up': 172, 'tps_qty_index': 72, 'max_risk_long': 67}
136	1.4	1.93	3.05	589	89	46	11091.48	791.64	449.25	53	52	63	2.127	0.8424	{'ott_len': 33, 'ott_percent': 170, 'ott_bw_up': 143, 'tps_qty_index': 64, 'max_risk_long': 97}
139	1.22	-0.18	3.89	683	98	60	11518.62	847.96	602.27	49	47	55	1.643	2.06776	{'ott_len': 66, 'ott_percent': 78, 'ott_bw_up': 73, 'tps_qty_index': 57, 'max_risk_long': 65}
184	1.09	0.2	4.36	227	25	15	2897.8	193.22	136.13	54	44	80	1.883	2.19053	{'ott_len': 70, 'ott_percent': 170, 'ott_bw_up': 149, 'tps_qty_index': 0, 'max_risk_long': 91}
187	1.17	2.02	2.27	52	1	3	540.75	7.92	23.93	62	100	67	1.82	0.57663	{'ott_len': 70, 'ott_percent': 78, 'ott_bw_up': 139, 'tps_qty_index': 29, 'max_risk_long': 67}
205	1.11	1.71	3.8	525	75	46	5835.66	738.67	460.32	54	56	63	2.207	1.4121	{'ott_len': 60, 'ott_percent': 105, 'ott_bw_up': 95, 'tps_qty_index': 65, 'max_risk_long': 81}
231	1.5	1.29	3.48	81	5	9	833.66	39.2	76.08	58	40	89	2.09	1.20835	{'ott_len': 40, 'ott_percent': 78, 'ott_bw_up': 149, 'tps_qty_index': 42, 'max_risk_long': 56}
237	1.32	0.85	4.31	252	34	19	4446.17	274.61	169.76	55	56	68	2.16	1.87673	{'ott_len': 57, 'ott_percent': 218, 'ott_bw_up': 175, 'tps_qty_index': 0, 'max_risk_long': 91}
245	1.01	1.58	3.05	246	25	20	2275.08	195.95	170.39	47	44	65	1.88	1.05257	{'ott_len': 28, 'ott_percent': 170, 'ott_bw_up': 169, 'tps_qty_index': 2, 'max_risk_long': 48}
248	1.43	2.13	3.81	387	55	30	4876.16	556.01	271.79	57	62	63	2.457	1.22317	{'ott_len': 63, 'ott_percent': 170, 'ott_bw_up': 134, 'tps_qty_index': 69, 'max_risk_long': 72}
254	1.24	-0.11	3.94	574	89	52	7098.11	759.28	483.31	54	47	58	1.69	2.06216	{'ott_len': 69, 'ott_percent': 158, 'ott_bw_up': 114, 'tps_qty_index': 65, 'max_risk_long': 70}
266	1.09	1.59	3.15	89	3	8	863.95	24.53	65.99	57	67	88	1.943	1.07449	{'ott_len': 45, 'ott_percent': 78, 'ott_bw_up': 149, 'tps_qty_index': 112, 'max_risk_long': 65}
269	1.38	1.94	4.69	390	46	31	5747.15	451.3	280.94	56	63	68	2.67	1.77164	{'ott_len': 69, 'ott_percent': 105, 'ott_bw_up': 98, 'tps_qty_index': 65, 'max_risk_long': 66}
272	1.19	-0.8	3.52	495	76	40	8287.86	546.46	394.56	52	45	68	1.303	2.16223	{'ott_len': 39, 'ott_percent': 170, 'ott_bw_up': 143, 'tps_qty_index': 64, 'max_risk_long': 97}
284	1.6	1.8	3.87	777	136	71	15449.98	1315.13	697.09	53	52	62	2.423	1.25683	{'ott_len': 33, 'ott_percent': 129, 'ott_bw_up': 111, 'tps_qty_index': 65, 'max_risk_long': 81}
286	1.3	-0.53	3.61	679	107	61	8657.08	788.77	610.46	50	45	64	1.46	2.07463	{'ott_len': 35, 'ott_percent': 129, 'ott_bw_up': 111, 'tps_qty_index': 20, 'max_risk_long': 45}
295	2.05	0.31	4.4	216	22	19	3688.33	179.86	177.81	57	45	84	2.253	2.05257	{'ott_len': 70, 'ott_percent': 170, 'ott_bw_up': 138, 'tps_qty_index': 64, 'max_risk_long': 52}
318	1.0	1.18	3.08	88	3	8	881.83	24.57	66.27	57	67	88	1.753	1.15245	{'ott_len': 45, 'ott_percent': 78, 'ott_bw_up': 149, 'tps_qty_index': 37, 'max_risk_long': 65}
323	1.27	1.46	3.86	178	16	16	2182.9	132.08	143.5	56	56	75	2.197	1.44362	{'ott_len': 52, 'ott_percent': 105, 'ott_bw_up': 134, 'tps_qty_index': 69, 'max_risk_long': 69}
342	1.79	1.27	4.05	365	47	26	7002.26	412.01	230.16	60	66	73	2.37	1.47797	{'ott_len': 66, 'ott_percent': 78, 'ott_bw_up': 88, 'tps_qty_index': 42, 'max_risk_long': 65}
353	1.33	2.03	2.47	63	1	5	620.2	7.91	40.69	60	100	80	1.943	0.57492	{'ott_len': 64, 'ott_percent': 78, 'ott_bw_up': 139, 'tps_qty_index': 42, 'max_risk_long': 67}
354	1.22	-0.32	3.44	115	8	10	1361.56	61.54	85.04	56	38	90	1.447	1.89022	{'ott_len': 70, 'ott_percent': 70, 'ott_bw_up': 112, 'tps_qty_index': 37, 'max_risk_long': 65}
373	1.51	0.6	4.76	207	26	13	2739.75	213.61	118.24	62	50	100	2.29	2.18694	{'ott_len': 68, 'ott_percent': 218, 'ott_bw_up': 172, 'tps_qty_index': 80, 'max_risk_long': 67}
390	1.0	1.93	3.68	228	23	16	2492.28	188.63	138.88	64	78	75	2.203	1.36075	{'ott_len': 31, 'ott_percent': 105, 'ott_bw_up': 147, 'tps_qty_index': 110, 'max_risk_long': 66}
402	1.76	0.91	4.41	345	42	28	6409.95	360.39	261.25	59	60	75	2.36	1.82551	{'ott_len': 70, 'ott_percent': 129, 'ott_bw_up': 111, 'tps_qty_index': 37, 'max_risk_long': 65}
411	1.5	1.32	4.09	148	18	12	1649.36	150.52	104.19	59	56	92	2.303	1.54991	{'ott_len': 40, 'ott_percent': 78, 'ott_bw_up': 136, 'tps_qty_index': 17, 'max_risk_long': 65}
412	1.7	0.63	4.68	203	26	13	2727.91	212.14	114.2	62	50	92	2.337	2.09872	{'ott_len': 68, 'ott_percent': 218, 'ott_bw_up': 172, 'tps_qty_index': 112, 'max_risk_long': 66}
414	1.78	2.86	3.29	230	20	20	3208.99	166.06	175.74	55	65	70	2.643	0.77797	{'ott_len': 33, 'ott_percent': 129, 'ott_bw_up': 149, 'tps_qty_index': 65, 'max_risk_long': 52}
415	1.14	0.62	2.12	949	132	101	12032.5	1134.5	1029.63	41	40	47	1.293	0.76166	{'ott_len': 33, 'ott_percent': 479, 'ott_bw_up': 175, 'tps_qty_index': 0, 'max_risk_long': 81}
418	1.29	1.61	4.39	462	61	37	6091.85	520.09	346.48	60	66	78	2.43	1.70493	{'ott_len': 57, 'ott_percent': 78, 'ott_bw_up': 88, 'tps_qty_index': 50, 'max_risk_long': 85}
452	1.36	-0.07	4.09	419	52	38	5420.77	419.54	365.8	58	54	71	1.793	2.11358	{'ott_len': 58, 'ott_percent': 105, 'ott_bw_up': 99, 'tps_qty_index': 50, 'max_risk_long': 52}
453	1.39	1.35	4.78	307	36	20	5259.58	304.48	190.32	60	61	80	2.507	1.96887	{'ott_len': 53, 'ott_percent': 170, 'ott_bw_up': 147, 'tps_qty_index': 69, 'max_risk_long': 72}
454	1.41	0.82	4.57	347	45	27	5282.88	364.54	250.86	63	60	81	2.267	2.01644	{'ott_len': 54, 'ott_percent': 170, 'ott_bw_up': 143, 'tps_qty_index': 84, 'max_risk_long': 100}
455	1.43	1.94	4.19	445	57	37	6283.56	506.78	347.83	58	63	78	2.52	1.46857	{'ott_len': 57, 'ott_percent': 78, 'ott_bw_up': 88, 'tps_qty_index': 42, 'max_risk_long': 71}
462	1.43	0.44	3.78	241	25	17	3293.15	204.16	150.72	56	48	88	1.883	1.71553	{'ott_len': 70, 'ott_percent': 70, 'ott_bw_up': 93, 'tps_qty_index': 72, 'max_risk_long': 65}
471	1.58	0.55	3.05	277	26	20	4901.72	216.29	179.67	59	54	75	1.727	1.25644	{'ott_len': 54, 'ott_percent': 97, 'ott_bw_up': 111, 'tps_qty_index': 65, 'max_risk_long': 59}
476	1.61	1.79	3.89	810	137	71	15758.92	1349.73	702.63	53	51	62	2.43	1.2676	{'ott_len': 33, 'ott_percent': 129, 'ott_bw_up': 111, 'tps_qty_index': 61, 'max_risk_long': 81}
479	1.42	2.87	3.17	201	16	16	2411.12	131.21	139.71	58	56	75	2.487	0.93586	{'ott_len': 31, 'ott_percent': 103, 'ott_bw_up': 147, 'tps_qty_index': 41, 'max_risk_long': 55}
481	1.29	-0.06	2.51	525	86	42	9366.33	658.92	380.06	56	55	62	1.247	1.28555	{'ott_len': 29, 'ott_percent': 218, 'ott_bw_up': 172, 'tps_qty_index': 112, 'max_risk_long': 66}
